,3.5,4.5,5.5,6.5
0,255,253,253,253
1,255,253,253,253
2,255,253,253,253
3,255,253,253,253
4,255,253,253,253
5,255,253,253,253
6,255,253,253,253
7,255,253,253,253
8,254,253,253,253
9,254,253,253,253
10,254,253,253,253
11,254,253,253,253
12,254,253,253,253
13,254,253,253,253
14,255,253,253,253
15,255,253,253,253
16,254,253,253,253
17,254,253,253,253
18,254,253,253,253
19,254,253,253,253
20,254,253,253,253
21,254,253,253,253
22,254,253,253,253
23,254,253,253,253
24,254,253,253,253
25,254,252,253,253
26,254,251,253,253
27,254,249,253,253
28,254,249,253,253
29,254,250,253,253
30,254,251,253,253
31,253,252,253,253
32,252,248,253,253
33,251,248,253,253
34,251,247,253,253
35,251,247,253,253
36,251,246,253,253
37,251,246,253,253
38,251,245,253,253
39,251,245,253,253
40,251,241,253,253
41,251,241,253,253
42,251,242,253,253
43,251,244,253,253
44,250,246,253,253
45,250,249,253,253
46,249,251,253,253
47,249,252,253,253
48,250,254,253,253
49,250,252,253,253
50,250,250,253,253
51,250,249,253,253
52,250,249,253,253
53,250,250,253,253
54,250,252,253,253
55,250,254,253,253
56,248,253,253,253
57,248,253,253,253
58,248,253,253,253
59,248,254,253,253
60,248,254,253,253
61,248,254,253,253
62,248,254,253,253
63,248,254,253,253
64,251,253,253,253
65,251,253,253,253
66,251,253,253,253
67,251,253,253,253
68,251,253,253,253
69,251,253,253,253
70,251,253,253,253
71,251,253,253,253
72,251,253,253,253
73,251,253,253,253
74,250,253,253,253
75,250,253,253,253
76,250,253,253,253
77,250,253,253,253
78,251,253,253,253
79,251,253,253,253
80,251,249,253,253
81,251,249,253,253
82,250,250,253,253
83,250,251,253,253
84,249,251,253,253
85,248,252,253,253
86,248,253,253,253
87,248,253,253,253
88,248,253,253,253
89,248,253,253,253
90,248,253,253,253
91,248,253,253,253
92,248,253,253,253
93,248,253,253,253
94,248,253,253,253
95,248,253,253,253
96,249,253,253,253
97,249,253,253,253
98,249,253,253,253
99,249,253,253,253
100,249,253,253,253
101,249,253,253,253
102,249,253,253,253
103,249,253,253,253
104,249,253,253,253
105,249,253,253,253
106,249,253,253,253
107,249,253,253,253
108,249,253,253,253
109,249,253,253,253
110,249,253,253,253
111,247,253,253,253
112,247,252,253,253
113,246,252,253,253
114,246,252,253,253
115,246,252,253,253
116,246,252,253,253
117,246,252,253,253
118,246,252,253,253
119,246,252,253,253
120,246,253,253,253
121,246,253,253,253
122,246,253,253,253
123,246,253,253,253
124,246,253,253,253
125,246,253,253,253
126,246,253,253,253
127,246,253,253,253
128,248,253,253,253
129,248,253,253,253
130,248,253,253,253
131,248,253,253,253
132,248,253,253,253
133,248,253,253,253
134,248,253,253,253
135,248,253,253,253
136,247,253,253,253
137,247,253,253,253
